,title,id_number
0,Pride and Prejudice by Jane Austen,1342
1,"Moby Dick; Or, The Whale by Herman Melville",2701
2,A Room with a View by E. M. Forster,2641
3,The Mysteries of Udolpho by Ann Ward Radcliffe,3268
4,The Secret of Chimneys by Agatha Christie,65238
5,Crime and Punishment by Fyodor Dostoyevsky,2554
6,Romeo and Juliet by William Shakespeare,1513
7,Carmen by Prosper Mérimée,2465
8,The Green Mummy by Fergus Hume,2868
9,The Love Letters of Mary Wollstonecraft to Gilbert Imlay by Mary Wollstonecraft,34413
10,Jane Eyre: An Autobiography by Charlotte Brontë,1260
11,"The String of Pearls; Or, The Barber of Fleet Street. A Domestic Romance. by Prest and Rymer",59828
12,The Blue Castle: a novel by L. M. Montgomery,67979
13,The Adventures of Sherlock Holmes by Arthur Conan Doyle,1661
14,Sense and Sensibility by Jane Austen,21839
15,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar by Maurice Leblanc",6133
16,Four Arthurian Romances by active 12th century de Troyes Chrétien,831
17,My Life — Volume 1 by Richard Wagner,5197
18,The History of Sir Richard Calmady: A Romance by Lucas Malet,23784
19,The Lady of the Lake by Walter Scott,3011
20,The Man Who Was Thursday: A Nightmare by G. K. Chesterton,1695
21,Eloisa : by Jean-Jacques Rousseau,76639
22,The Yeoman Adventurer by George W. Gough,7326
23,The Monk: A Romance by M. G. Lewis,601
24,A Honeymoon in Space by George Chetwynd Griffith,19476
25,"Thuvia, maid of Mars by Edgar Rice Burroughs",72
26,The Book of the Thousand Nights and a Night — Volume 01 (of 10),51252
27,The Misplaced Battleship by Harry Harrison,22541
28,Manon Lescaut by abbé Prévost,468
29,Dracula by Bram Stoker,345
30,Pride and Prejudice by Jane Austen,42671
31,Meditations by Emperor of Rome Marcus Aurelius,2680
32,"Modern English biography, volume 2 (of 4), I-Q by Frederic Boase",71046
33,"Bidwell's Travels, from Wall Street to London Prison: Fifteen Years in Solitude by Austin Bidwell",24739
34,A farewell to arms by Ernest Hemingway,75201
35,The Complete Project Gutenberg Works of Jane Austen by Jane Austen,31100
36,The Complete Works of William Shakespeare by William Shakespeare,100
37,The strange case of Dr. Jekyll and Mr. Hyde by Robert Louis Stevenson,42
38,Dracula by Bram Stoker,45839
39,The Mystery of Edwin Drood by Charles Dickens,564
